Name,latlon,relevant regency
Binjai,"3.598611,98.480278",LANGKAT
Stabat,"3.833333,98.166667",LANGKAT
Sipirok,"1.616667,99.266667",TAPANULI SELATAN
Padangsidempuan,"1.378611,99.272222",TAPANULI SELATAN
Malinau,"3.583333, 116.632778",MALINAU
Nunukan,"4.139380855320758, 117.64966858248154",NUNUKAN
Sidikalang,"2.746896577413022, 98.31540623940968",DAIRI
Panyabungan,"0.8521373852267222, 99.56307722697",MANDAILING NATAL
Pandan,"1.6829936886749202, 98.82562464769134",TAPANULI TENGAH
Sibolga,"1.7348123645196456, 98.78322428691787",TAPANULI TENGAH